image,label,label_name
DataSet/images/1_image.jpeg,12,plus
DataSet/images/2_image.jpeg,12,plus
DataSet/images/3_image.jpeg,12,plus
DataSet/images/4_image.jpeg,12,plus
DataSet/images/5_image.jpeg,12,plus
DataSet/images/6_image.jpeg,12,plus
DataSet/images/7_image.jpeg,12,plus
DataSet/images/8_image.jpeg,12,plus
DataSet/images/9_image.jpeg,12,plus
DataSet/images/10_image.jpeg,12,plus
DataSet/images/11_image.jpeg,12,plus
DataSet/images/12_image.jpeg,12,plus
DataSet/images/13_image.jpeg,12,plus
DataSet/images/14_image.jpeg,12,plus
DataSet/images/15_image.jpeg,12,plus
DataSet/images/16_image.jpeg,12,plus
DataSet/images/17_image.jpeg,12,plus
DataSet/images/18_image.jpeg,12,plus
DataSet/images/19_image.jpeg,12,plus
DataSet/images/20_image.jpeg,12,plus
DataSet/images/21_image.jpeg,12,plus
DataSet/images/22_image.jpeg,12,plus
DataSet/images/23_image.jpeg,12,plus
DataSet/images/24_image.jpeg,12,plus
DataSet/images/25_image.jpeg,12,plus
DataSet/images/26_image.jpeg,12,plus
DataSet/images/27_image.jpeg,12,plus
DataSet/images/28_image.jpeg,12,plus
DataSet/images/29_image.jpeg,12,plus
DataSet/images/30_image.jpeg,12,plus
DataSet/images/31_image.jpeg,12,plus
DataSet/images/32_image.jpeg,12,plus
DataSet/images/33_image.jpeg,12,plus
DataSet/images/34_image.jpeg,12,plus
DataSet/images/35_image.jpeg,12,plus
DataSet/images/36_image.jpeg,12,plus
DataSet/images/37_image.jpeg,12,plus
DataSet/images/38_image.jpeg,12,plus
DataSet/images/39_image.jpeg,12,plus
DataSet/images/40_image.jpeg,12,plus
DataSet/images/41_image.jpeg,12,plus
DataSet/images/42_image.jpeg,12,plus
DataSet/images/43_image.jpeg,12,plus
DataSet/images/44_image.jpeg,12,plus
DataSet/images/45_image.jpeg,12,plus
DataSet/images/46_image.jpeg,12,plus
DataSet/images/47_image.jpeg,12,plus
DataSet/images/48_image.jpeg,12,plus
DataSet/images/49_image.jpeg,12,plus
DataSet/images/50_image.jpeg,12,plus
DataSet/images/51_image.jpeg,12,plus
DataSet/images/52_image.jpeg,12,plus
DataSet/images/53_image.jpeg,12,plus
DataSet/images/54_image.jpeg,12,plus
DataSet/images/55_image.jpeg,12,plus
DataSet/images/56_image.jpeg,12,plus
DataSet/images/57_image.jpeg,12,plus
DataSet/images/58_image.jpeg,12,plus
DataSet/images/59_image.jpeg,12,plus
DataSet/images/60_image.jpeg,12,plus
DataSet/images/61_image.jpeg,12,plus
DataSet/images/62_image.jpeg,12,plus
DataSet/images/63_image.jpeg,12,plus
DataSet/images/64_image.jpeg,12,plus
DataSet/images/65_image.jpeg,12,plus
DataSet/images/66_image.jpeg,12,plus
DataSet/images/67_image.jpeg,12,plus
DataSet/images/68_image.jpeg,12,plus
DataSet/images/69_image.jpeg,12,plus
DataSet/images/70_image.jpeg,12,plus
DataSet/images/71_image.jpeg,12,plus
DataSet/images/72_image.jpeg,12,plus
DataSet/images/73_image.jpeg,12,plus
DataSet/images/74_image.jpeg,12,plus
DataSet/images/75_image.jpeg,12,plus
DataSet/images/76_image.jpeg,12,plus
DataSet/images/77_image.jpeg,12,plus
DataSet/images/78_image.jpeg,12,plus
DataSet/images/79_image.jpeg,12,plus
DataSet/images/80_image.jpeg,12,plus
DataSet/images/81_image.jpeg,12,plus
DataSet/images/82_image.jpeg,12,plus
DataSet/images/83_image.jpeg,12,plus
DataSet/images/84_image.jpeg,12,plus
